Phase,Trial,CharID,Target,Recalled,Score,Success,MemorySize
P1-4,3,0x4f3e,伾,伾,1.0000,True,1000
P1-4,4,0x4f3e,伾,伾,1.0000,True,1000
P1-4,5,0x4f3e,伾,伾,1.0000,True,1000
P1-4,6,0x4f3e,伾,伾,1.0000,True,1000
P1-4,7,0x4f3e,伾,伾,1.0000,True,1000
P1-4,8,0x4f3e,伾,伾,1.0000,True,1000
P1-4,9,0x4f3e,伾,伾,1.0000,True,1000
P1-4,0,0x4f3f,伿,伿,1.0000,True,1000
P1-4,1,0x4f3f,伿,伿,1.0000,True,1000
P1-4,2,0x4f3f,伿,伿,1.0000,True,1000
P1-4,3,0x4f3f,伿,伿,1.0000,True,1000
P1-4,4,0x4f3f,伿,伿,1.0000,True,1000
P1-4,5,0x4f3f,伿,伿,1.0000,True,1000
P1-4,6,0x4f3f,伿,伿,1.0000,True,1000
P1-4,7,0x4f3f,伿,伿,1.0000,True,1000
P1-4,8,0x4f3f,伿,伿,1.0000,True,1000
P1-4,9,0x4f3f,伿,伿,1.0000,True,1000
P1-4,0,0x4f40,佀,佀,1.0000,True,1000
P1-4,1,0x4f40,佀,佀,1.0000,True,1000
P1-4,2,0x4f40,佀,佀,1.0000,True,1000
P1-4,3,0x4f40,佀,佀,1.0000,True,1000
P1-4,4,0x4f40,佀,佀,1.0000,True,1000
P1-4,5,0x4f40,佀,佀,1.0000,True,1000
P1-4,6,0x4f40,佀,佀,1.0000,True,1000
P1-4,7,0x4f40,佀,佀,1.0000,True,1000
P1-4,8,0x4f40,佀,佀,1.0000,True,1000
P1-4,9,0x4f40,佀,佀,1.0000,True,1000
P1-4,0,0x4f41,佁,佁,1.0000,True,1000
P1-4,1,0x4f41,佁,佁,1.0000,True,1000
P1-4,2,0x4f41,佁,佁,1.0000,True,1000
P1-4,3,0x4f41,佁,佁,1.0000,True,1000
P1-4,4,0x4f41,佁,佁,1.0000,True,1000
P1-4,5,0x4f41,佁,佁,1.0000,True,1000
P1-4,6,0x4f41,佁,佁,1.0000,True,1000
