run_id,timestamp,variant_dim,length_L,seq_id,target_seq,pred_seq,exact_match,edit_dist,near_miss,avg_margin,min_margin,valid_margin_pct,status
RUN_2048_4_SEQ_4_0292,20260105_073759,2048,4,SEQ_4_0292,IWOM,IWOM,1,0,0,0.009885,0.009700,1.00,PASS
RUN_2048_4_SEQ_4_0293,20260105_073759,2048,4,SEQ_4_0293,SPYH,SPYH,1,0,0,0.010141,0.009803,1.00,PASS
RUN_2048_4_SEQ_4_0294,20260105_073759,2048,4,SEQ_4_0294,YKYO,YKYO,1,0,0,0.009777,0.009205,1.00,PASS
RUN_2048_4_SEQ_4_0295,20260105_073759,2048,4,SEQ_4_0295,VOSA,VOSA,1,0,0,0.010184,0.009899,1.00,PASS
RUN_2048_4_SEQ_4_0296,20260105_073759,2048,4,SEQ_4_0296,PDIC,PDIC,1,0,0,0.009897,0.009603,1.00,PASS
RUN_2048_4_SEQ_4_0297,20260105_073759,2048,4,SEQ_4_0297,MUZH,MUZH,1,0,0,0.009810,0.009242,1.00,PASS
RUN_2048_4_SEQ_4_0298,20260105_073759,2048,4,SEQ_4_0298,VWHZ,VWHZ,1,0,0,0.010013,0.009489,1.00,PASS
RUN_2048_4_SEQ_4_0299,20260105_073759,2048,4,SEQ_4_0299,KNLQ,KNLQ,1,0,0,0.010363,0.009196,1.00,PASS
RUN_2048_4_SEQ_4_0300,20260105_073759,2048,4,SEQ_4_0300,RAWI,RAWI,1,0,0,0.009900,0.008502,1.00,PASS
RUN_2048_4_SEQ_4_0301,20260105_073759,2048,4,SEQ_4_0301,HJCM,HJCM,1,0,0,0.009564,0.008861,1.00,PASS
RUN_2048_4_SEQ_4_0302,20260105_073759,2048,4,SEQ_4_0302,VXKC,VXKC,1,0,0,0.010249,0.010167,1.00,PASS
RUN_2048_4_SEQ_4_0303,20260105_073759,2048,4,SEQ_4_0303,RFPK,RFPK,1,0,0,0.009858,0.009534,1.00,PASS
RUN_2048_4_SEQ_4_0304,20260105_073759,2048,4,SEQ_4_0304,LGSI,LGSI,1,0,0,0.010149,0.009759,1.00,PASS
RUN_2048_4_SEQ_4_0305,20260105_073759,2048,4,SEQ_4_0305,FXVG,FXVG,1,0,0,0.010061,0.009538,1.00,PASS
RUN_2048_4_SEQ_4_0306,20260105_073759,2048,4,SEQ_4_0306,PXGH,PXGH,1,0,0,0.009995,0.009553,1.00,PASS
RUN_2048_4_SEQ_4_0307,20260105_073759,2048,4,SEQ_4_0307,XHIG,XHIG,1,0,0,0.010232,0.009583,1.00,PASS
RUN_2048_4_SEQ_4_0308,20260105_073759,2048,4,SEQ_4_0308,HGHT,HGHT,1,0,0,0.009885,0.009014,1.00,PASS
RUN_2048_4_SEQ_4_0309,20260105_073759,2048,4,SEQ_4_0309,LEYD,LEYD,1,0,0,0.009846,0.009334,1.00,PASS
RUN_2048_4_SEQ_4_0310,20260105_073759,2048,4,SEQ_4_0310,DCVV,DCVV,1,0,0,0.009962,0.009120,1.00,PASS
RUN_2048_4_SEQ_4_0311,20260105_073759,2048,4,SEQ_4_0311,PTAY,PTAY,1,0,0,0.010389,0.009598,1.00,PASS
RUN_2048_4_SEQ_4_0312,20260105_073759,2048,4,SEQ_4_0312,RBPL,RBPL,1,0,0,0.009926,0.009630,1.00,PASS
RUN_2048_4_SEQ_4_0313,20260105_073759,2048,4,SEQ_4_0313,TKPS,TKPS,1,0,0,0.010036,0.009343,1.00,PASS
RUN_2048_4_SEQ_4_0314,20260105_073759,2048,4,SEQ_4_0314,IPFY,IPFY,1,0,0,0.010069,0.009391,1.00,PASS
RUN_2048_4_SEQ_4_0315,20260105_073759,2048,4,SEQ_4_0315,QIMH,QIMH,1,0,0,0.009880,0.009601,1.00,PASS
RUN_2048_4_SEQ_4_0316,20260105_073759,2048,4,SEQ_4_0316,YSEB,YSEB,1,0,0,0.010339,0.010071,1.00,PASS
RUN_2048_4_SEQ_4_0317,20260105_073759,2048,4,SEQ_4_0317,QZNP,QZNP,1,0,0,0.009609,0.008425,1.00,PASS
RUN_2048_4_SEQ_4_0318,20260105_073759,2048,4,SEQ_4_0318,RBQL,RBQL,1,0,0,0.010207,0.009564,1.00,PASS
RUN_2048_4_SEQ_4_0319,20260105_073759,2048,4,SEQ_4_0319,MVYF,MVYF,1,0,0,0.010050,0.009585,1.00,PASS
RUN_2048_4_SEQ_4_0320,20260105_073759,2048,4,SEQ_4_0320,ODWQ,ODWQ,1,0,0,0.010186,0.009130,1.00,PASS
RUN_2048_4_SEQ_4_0321,20260105_073759,2048,4,SEQ_4_0321,OKWA,OKWA,1,0,0,0.009794,0.009401,1.00,PASS
RUN_2048_4_SEQ_4_0322,20260105_073759,2048,4,SEQ_4_0322,AVGM,AVGM,1,0,0,0.009750,0.009355,1.00,PASS
RUN_2048_4_SEQ_4_0323,20260105_073759,2048,4,SEQ_4_0323,SDKL,SDKL,1,0,0,0.010174,0.009363,1.00,PASS
RUN_2048_4_SEQ_4_0324,20260105_073759,2048,4,SEQ_4_0324,TIFR,TIFR,1,0,0,0.009904,0.009470,1.00,PASS
RUN_2048_4_SEQ_4_0325,20260105_073759,2048,4,SEQ_4_0325,IHIP,IHIP,1,0,0,0.010332,0.009264,1.00,PASS
RUN_2048_4_SEQ_4_0326,20260105_073759,2048,4,SEQ_4_0326,TKLF,TKLF,1,0,0,0.009975,0.008989,1.00,PASS
RUN_2048_4_SEQ_4_0327,20260105_073759,2048,4,SEQ_4_0327,PNGN,PNGN,1,0,0,0.009774,0.009287,1.00,PASS
RUN_2048_4_SEQ_4_0328,20260105_073759,2048,4,SEQ_4_0328,WYLL,WYLL,1,0,0,0.009991,0.009573,1.00,PASS
RUN_2048_4_SEQ_4_0329,20260105_073759,2048,4,SEQ_4_0329,MIOF,MIOF,1,0,0,0.010196,0.009945,1.00,PASS
RUN_2048_4_SEQ_4_0330,20260105_073759,2048,4,SEQ_4_0330,SESV,SESV,1,0,0,0.009775,0.009399,1.00,PASS
RUN_2048_4_SEQ_4_0331,20260105_073759,2048,4,SEQ_4_0331,HDXI,HDXI,1,0,0,0.009380,0.009025,1.00,PASS
RUN_2048_4_SEQ_4_0332,20260105_073759,2048,4,SEQ_4_0332,ZHRN,ZHRN,1,0,0,0.009823,0.009221,1.00,PASS
RUN_2048_4_SEQ_4_0333,20260105_073759,2048,4,SEQ_4_0333,MGEZ,MGEZ,1,0,0,0.010270,0.009942,1.00,PASS
